Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeTestSuite-Collection,Chrome 100.0.4896.75,SmokeTestSuite-Collection,,2022-04-11 13:38:39,2022-04-11 13:44:34,5m - 55.481s,PASSED
,,,,,,,
Test Cases/Venkat/Header/Header - Offers Savings Menu Verification,Chrome 100.0.4896.75,Header Section Offers & Savings Menu Elements Verification,,2022-04-11 13:38:40,2022-04-11 13:44:34,5m - 54.336s,PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-11 13:38:42,2022-04-11 13:38:51,9.373s,PASSED
navigateToUrl(HomePage),Chrome 100.0.4896.75,,,2022-04-11 13:38:51,2022-04-11 13:38:57,5.524s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-11 13:38:57,2022-04-11 13:38:57,0.396s,PASSED
delay(5),Chrome 100.0.4896.75,,,2022-04-11 13:38:57,2022-04-11 13:39:03,5.239s,PASSED
"click(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/button_GOT IT_onetrust-close-btn-handler on_95ce22""))",Chrome 100.0.4896.75,,,2022-04-11 13:39:03,2022-04-11 13:39:19,15.963s,PASSED
"verifyElementText(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/span_Offers  Savings""), ""Offers & Savings"")",Chrome 100.0.4896.75,,,2022-04-11 13:39:19,2022-04-11 13:39:21,2.939s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/span_Offers  Savings""), 0)",Chrome 100.0.4896.75,,,2022-04-11 13:39:21,2022-04-11 13:39:23,1.033s,PASSED
"mouseOver(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/span_Offers  Savings""))",Chrome 100.0.4896.75,,,2022-04-11 13:39:23,2022-04-11 13:39:24,1.392s,PASSED
"verifyElementText(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/h5_Savings  Support Programs""), ""Savings & Support Programs"")",Chrome 100.0.4896.75,,,2022-04-11 13:39:24,2022-04-11 13:39:26,2.171s,PASSED
"verifyElementText(findTestObject(""Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/div_FEATURED 4""), ""FEATURED"")",Chrome 100.0.4896.75,,,2022-04-11 13:39:26,2022-04-11 13:39:27,0.913s,PASSED
"verifyElementText(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/span_MORE WAYS TO SAVE""), ""MORE WAYS TO SAVE"")",Chrome 100.0.4896.75,,,2022-04-11 13:39:27,2022-04-11 13:39:28,0.880s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/h5_Savings  Support Programs""), 0)",Chrome 100.0.4896.75,,,2022-04-11 13:39:28,2022-04-11 13:39:29,0.639s,PASSED
"verifyElementPresent(findTestObject(""Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/div_FEATURED 4""), 0)",Chrome 100.0.4896.75,,,2022-04-11 13:39:29,2022-04-11 13:39:29,0.632s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/span_MORE WAYS TO SAVE""), 0)",Chrome 100.0.4896.75,,,2022-04-11 13:39:29,2022-04-11 13:39:30,0.866s,PASSED
"mouseOver(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/span_Offers  Savings""))",Chrome 100.0.4896.75,,,2022-04-11 13:39:30,2022-04-11 13:39:31,1.032s,PASSED
"verifyElementText(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/div_Premium Enfamil Family Beginnings""), ""Premium Enfamil Family Beginnings"")",Chrome 100.0.4896.75,,,2022-04-11 13:39:31,2022-04-11 13:39:32,0.836s,PASSED
"verifyElementText(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/div_Enspire Family Beginnings""), ""Enspire Family Beginnings®"")",Chrome 100.0.4896.75,,,2022-04-11 13:39:32,2022-04-11 13:39:33,0.658s,PASSED
"verifyElementText(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/div_Enfamil Rewards""), ""Enfamil Rewards®"")",Chrome 100.0.4896.75,,,2022-04-11 13:39:33,2022-04-11 13:39:33,0.630s,PASSED
"verifyElementText(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/div_Nutramigen Savings  Support program""), ""Nutramigen Savings & Support program"")",Chrome 100.0.4896.75,,,2022-04-11 13:39:33,2022-04-11 13:39:34,0.785s,PASSED
"verifyElementText(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/div_Enfacare Drive to Thrive Support Program""), ""Enfacare® Drive to Thrive Support Program"")",Chrome 100.0.4896.75,,,2022-04-11 13:39:34,2022-04-11 13:39:35,0.667s,PASSED
"verifyElementText(findTestObject(""Object Repository/Header/Page_Enfamil Newborn, Infant  Toddler Nutri_2e0999/div_Enfagrow Free Sample""), ""Enfagrow Free Sample"")",Chrome 100.0.4896.75,,,2022-04-11 13:39:35,2022-04-11 13:39:36,0.992s,PASSED
