Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeTestSuite-Collection,Chrome 100.0.4896.75,SmokeTestSuite-Collection,,2022-04-11 12:48:11,2022-04-11 13:37:18,49m - 7.847s,FAILED
,,,,,,,
Test Cases/Venkat/Forms Verification/Contact Us - Form Verification,Chrome 100.0.4896.75,Contact Us Form Field Verification,,2022-04-11 12:48:12,2022-04-11 12:49:29,1m - 16.795s,PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-11 12:48:14,2022-04-11 12:48:23,9.568s,PASSED
navigateToUrl(ContactUs),Chrome 100.0.4896.75,,,2022-04-11 12:48:23,2022-04-11 12:48:28,4.643s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-11 12:48:28,2022-04-11 12:48:28,0.306s,PASSED
delay(5),Chrome 100.0.4896.75,,,2022-04-11 12:48:28,2022-04-11 12:48:34,5.227s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Form Verification/Page_/h2_Contact Us""), 0)",Chrome 100.0.4896.75,,,2022-04-11 12:48:34,2022-04-11 12:48:49,14.907s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Page_/span_Contact Us""), 0)",Chrome 100.0.4896.75,,,2022-04-11 12:48:49,2022-04-11 12:48:49,0.760s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Page_/h2_Contact Us""), 0)",Chrome 100.0.4896.75,,,2022-04-11 12:48:49,2022-04-11 12:48:51,1.358s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Page_/h3_Thank you for your interest in the Enfam_7b10da""), 0)",Chrome 100.0.4896.75,,,2022-04-11 12:48:51,2022-04-11 12:48:51,0.646s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Page_/h3_Thank you for your interest in the Enfam_7b10da""), ""Thank you for your interest in the Enfamil Family of Formulas™."")",Chrome 100.0.4896.75,,,2022-04-11 12:48:51,2022-04-11 12:48:52,0.895s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Page_/span_If you have a question about our produ_57c769""), 0)",Chrome 100.0.4896.75,,,2022-04-11 12:48:52,2022-04-11 12:48:53,0.680s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Page_/span_If you have a question about our produ_57c769""), ""If you have a question about our products, company or services, please check out our Help Center or Store locator."")",Chrome 100.0.4896.75,,,2022-04-11 12:48:53,2022-04-11 12:48:54,0.848s,PASSED
